seq_beneficiario;dat_inicio_direito;des_categoria;desc_entidade;val_cargo;val_redutor_teto;nom_municipio;sgl_uf;dat_requerimento;dat_doc_completa;dat_deferimento;mes_deferimento;dias_uteis_concessao
189156;2024-12-20;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;5440,79;5604,65;MONTES CLAROS;MG;2025-01-13;2025-01-15;2025-01-17;Janeiro/2025;3
189158;2024-12-03;CONJUGE;SECRETARIA DA EDUCACAO;5055,78;5055,78;SAO SEBASTIAO DO PARAISO;MG;2024-12-26;2025-01-16;2025-01-17;Janeiro/2025;2
189118;2025-01-17;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;3957,2;3957,2;JUIZ DE FORA;MG;2023-10-23;2025-01-14;2025-01-17;Janeiro/2025;4
189159;2024-12-06;CONJUGE;SECRETARIA DA FAZENDA;15569,63;15569,63;GUANHAES;MG;2024-12-19;2025-01-17;2025-01-17;Janeiro/2025;1
189172;2024-09-28;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;31394,35;31394,35;BELO HORIZONTE;MG;2024-12-12;2025-01-17;2025-01-20;Janeiro/2025;2
189176;2025-01-20;COMPANHEIRO(A);PREFEITURA MUNICIPAL DE CORONEL FABRICIANO;350,0;1518,0;CORONEL FABRICIANO;MG;2024-11-14;2024-12-26;2025-01-20;Janeiro/2025;18
189175;2024-12-26;CONJUGE;SEC DE PLANEJAMENTO E GESTAO;3858,76;3858,76;ALVINOPOLIS;MG;2025-01-09;2025-01-17;2025-01-20;Janeiro/2025;2
189146;2025-01-04;CONJUGE;SECRETARIA DA EDUCACAO;4150,54;4150,54;BELO HORIZONTE;MG;2025-01-13;2025-01-15;2025-01-20;Janeiro/2025;4
189163;2024-12-20;CONJUGE;SECRETARIA DA EDUCACAO;993,14;1518,0;RIBEIRAO DAS NEVES;MG;2024-12-27;2025-01-17;2025-01-20;Janeiro/2025;2
189164;2024-10-29;CONJUGE;SECRETARIA DA EDUCACAO;2816,07;2816,07;JAMPRUCA;MG;2025-01-15;2025-01-17;2025-01-20;Janeiro/2025;2
189162;2024-12-30;CONJUGE;SECRETARIA DA EDUCACAO;2624,82;2624,82;CONTAGEM;MG;2025-01-15;2025-01-17;2025-01-20;Janeiro/2025;2
189169;2024-11-12;CONJUGE;SECRETARIA DA EDUCACAO;996,41;1518,0;BELO HORIZONTE;MG;2024-12-26;2025-01-17;2025-01-20;Janeiro/2025;2
189177;2024-09-06;CONJUGE;SECRETARIA DA FAZENDA;34642,79;34642,79;UNAI;MG;2024-10-18;2024-12-02;2025-01-21;Janeiro/2025;37
189179;2025-01-08;CONJUGE;SECRETARIA DA EDUCACAO;2091,73;2091,73;CRUCILANDIA;MG;2025-01-16;2025-01-20;2025-01-21;Janeiro/2025;2
189173;2024-11-21;CONJUGE;SECRETARIA DA EDUCACAO;2161,39;2161,39;NOVA ERA;MG;2025-01-15;2025-01-17;2025-01-21;Janeiro/2025;3
189221;2024-12-12;FILHO(A) LC 64/2002;SECRETARIA DE EDUCACAO;1323,15;1518,0;BURITIZEIRO;MG;2025-01-10;2025-01-23;2025-01-24;Janeiro/2025;2
189210;2024-11-09;CONJUGE;SECRETARIA DA EDUCACAO;2969,2;2969,2;BETIM;MG;2024-11-22;2025-01-09;2025-01-24;Janeiro/2025;12
189191;2024-12-09;CONJUGE;SECRETARIA DA EDUCACAO;1951,7;1951,7;BELO HORIZONTE;MG;2024-12-27;2025-01-22;2025-01-24;Janeiro/2025;3
189204;2024-11-26;CONJUGE;SECRETARIA DA EDUCACAO;2833,54;2833,54;NOVA SERRANA;MG;2025-01-07;2025-01-23;2025-01-24;Janeiro/2025;2
189198;2024-12-26;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;3225,25;3225,25;GUAPE;MG;2025-01-16;2025-01-22;2025-01-24;Janeiro/2025;3
189192;2024-12-08;CONJUGE;IPSEMG INSTITUTO PREVIDENCIA;3588,89;3588,89;CATAGUASES;MG;2025-01-16;2025-01-22;2025-01-24;Janeiro/2025;3
189183;2024-11-12;PAI OU MAE;SECRETARIA DA EDUCACAO;1273,83;1518,0;NOVA PONTE;MG;2024-11-12;2025-01-20;2025-01-24;Janeiro/2025;5
189223;2025-01-11;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1987,06;1987,06;VARGINHA;MG;2025-01-20;2025-01-24;2025-01-24;Janeiro/2025;1
189207;2025-01-08;CONJUGE;SECRETARIA DE SAUDE;1627,41;1627,41;VARGINHA;MG;2025-01-08;2025-01-23;2025-01-24;Janeiro/2025;2
189208;2024-07-15;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1817,05;1817,05;IBIRITE;MG;2024-08-26;2024-12-30;2025-01-24;Janeiro/2025;20
189190;2024-12-16;EX-CONJUGE COM PENSAO ALIMENTICIA;SEC DE PLANEJAMENTO E GESTAO;2363,9;2363,9;BELO HORIZONTE;MG;2024-12-16;2025-01-09;2025-01-24;Janeiro/2025;12
189205;2024-11-05;CONJUGE;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;41708,22;41708,22;BELO HORIZONTE;MG;2025-01-20;2025-01-23;2025-01-24;Janeiro/2025;2
189206;2023-10-09;COMPANHEIRO(A);DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;2402,47;2402,47;ITABIRA;MG;2023-12-05;2025-01-23;2025-01-24;Janeiro/2025;2
189182;2025-01-15;CONJUGE;FHEMIG FUND HOSPITALAR EST MG;2396,99;2396,99;BARBACENA;MG;2025-01-15;2025-01-17;2025-01-24;Janeiro/2025;6
189197;2014-03-14;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;8714,83;8714,85;JABOTICATUBAS;MG;2014-03-14;2025-01-22;2025-01-24;Janeiro/2025;3
189200;2017-05-04;FILHO(A) INVALIDO(A);SECRETARIA DE ESTADO DE EDUCACAO;1332,21;1518,0;TEOFILO OTONI;MG;2017-05-29;;2025-01-24;Janeiro/2025;2000
189201;2025-01-11;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1870,18;1870,18;VARGINHA;MG;2025-01-17;2025-01-22;2025-01-24;Janeiro/2025;3
189180;2024-12-24;CONJUGE;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;30512,19;30512,19;BELO HORIZONTE;MG;2025-01-08;2025-01-20;2025-01-24;Janeiro/2025;5
189187;2024-08-24;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;8181,0;8181,0;RIBEIRAO DAS NEVES;MG;2024-10-24;2025-01-20;2025-01-24;Janeiro/2025;5
189188;2024-12-17;CONJUGE;POLICIA CIVIL;12158,9;12158,9;BARBACENA;MG;2024-12-23;2025-01-22;2025-01-24;Janeiro/2025;3
189193;2024-12-25;CONJUGE;POLICIA CIVIL;10728,44;10728,44;BELO HORIZONTE;MG;2025-01-17;2025-01-22;2025-01-24;Janeiro/2025;3
189218;2024-11-18;CONJUGE;SECRETARIA DA EDUCACAO;1982,78;1982,78;CONTAGEM;MG;2025-01-21;2025-01-23;2025-01-24;Janeiro/2025;2
189196;2024-12-23;CONJUGE;SECRETARIA DA EDUCACAO;2757,7;2757,7;ANDRELANDIA;MG;2025-01-20;2025-01-22;2025-01-24;Janeiro/2025;3
189215;2025-01-24;COMPANHEIRO(A);DER DEP ESTRADAS E RODAGEM MG;7072,19;6267,61;CORONEL FABRICIANO;MG;2024-05-13;2025-01-23;2025-01-24;Janeiro/2025;2
189185;2023-12-30;CONJUGE;SEC DE PLANEJAMENTO E GESTAO;4713,82;4713,82;BELO HORIZONTE;MG;2024-01-29;2025-01-20;2025-01-24;Janeiro/2025;5
189212;2025-01-10;CONJUGE;SECRETARIA DA EDUCACAO;1942,38;1942,38;POUSO ALEGRE;MG;2025-01-20;2025-01-23;2025-01-24;Janeiro/2025;2
189011;2024-11-07;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;1088,19;1518,0;RIBEIRAO DAS NEVES;MG;2024-12-26;2025-01-21;2025-01-24;Janeiro/2025;4
189114;2024-12-19;CONJUGE;SECRETARIA DA EDUCACAO;4750,87;4750,87;CAMANDUCAIA;MG;2025-01-09;2025-01-27;2025-01-27;Janeiro/2025;1
189219;2024-12-09;FILHO(A) LC 64/2002;SECRETARIA DA FAZENDA;1066,46;1518,0;SAO JOSE DA LAPA;MG;2024-12-09;2025-01-23;2025-01-27;Janeiro/2025;3
189220;2024-12-09;FILHO(A) LC 64/2002;SECRETARIA DA FAZENDA;1066,46;1518,0;SAO JOSE DA LAPA;MG;2024-12-09;2025-01-23;2025-01-27;Janeiro/2025;3
189228;2025-01-04;CONJUGE;SECRETARIA DE SAUDE;2913,14;2913,14;ANDRELANDIA;MG;2025-01-21;2025-01-23;2025-01-27;Janeiro/2025;3
189224;2025-01-04;CONJUGE;POLICIA CIVIL;12100,82;12100,82;CAMPO DO MEIO;MG;2025-01-22;2025-01-23;2025-01-27;Janeiro/2025;3
189216;2025-01-20;CONJUGE;SECRETARIA DA FAZENDA;7639,13;7639,13;TARUMIRIM;MG;2025-01-20;2025-01-23;2025-01-27;Janeiro/2025;3
189217;2025-01-20;FILHO(A) LC 64/2002;SECRETARIA DA FAZENDA;7639,13;7639,13;TARUMIRIM;MG;2025-01-20;2025-01-23;2025-01-27;Janeiro/2025;3
189213;2025-01-06;CONJUGE;SECRETARIA DA FAZENDA;23467,49;23467,49;BELO HORIZONTE;MG;2025-01-16;2025-01-23;2025-01-27;Janeiro/2025;3
189203;2024-12-30;CONJUGE;SECRETARIA DA EDUCACAO;4669,51;4894,28;PASSOS;MG;2025-01-13;2025-01-22;2025-01-27;Janeiro/2025;4
189226;2024-09-12;COMPANHEIRO(A);TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;24590,4;24590,4;PARAISOPOLIS;MG;2024-10-18;2024-10-24;2025-01-27;Janeiro/2025;68
189243;2024-12-28;CONJUGE;UNIMONTES UNIV MONTES CLAROS;3218,73;3459,83;MONTES CLAROS;MG;2025-01-22;2025-01-27;2025-01-28;Janeiro/2025;2
